hold_id,user_id,book_id,library_id,hold_date,hold_expiry_date
1,32,76,4,2024-09-09,2024-09-16
2,33,32,5,2024-09-09,2024-09-16
3,12,35,4,2024-09-09,2024-09-16
4,32,45,3,2024-09-09,2024-09-16
5,14,70,3,2024-09-09,2024-09-16
6,50,16,4,2024-09-09,2024-09-16
7,9,39,1,2024-09-09,2024-09-16
8,49,78,5,2024-09-09,2024-09-16
9,3,84,2,2024-09-09,2024-09-16
10,12,72,1,2024-09-09,2024-09-16
11,22,44,5,2024-09-09,2024-09-16
12,27,30,4,2024-09-09,2024-09-16
13,48,24,5,2024-09-09,2024-09-16
14,50,68,2,2024-09-09,2024-09-16
15,14,24,4,2024-09-09,2024-09-16
16,18,99,5,2024-09-09,2024-09-16
17,26,80,4,2024-09-09,2024-09-16
18,32,68,2,2024-09-09,2024-09-16
19,11,84,1,2024-09-09,2024-09-16
20,22,72,2,2024-09-09,2024-09-16
21,2,35,2,2024-09-09,2024-09-16
22,16,66,3,2024-09-09,2024-09-16
23,23,56,5,2024-09-09,2024-09-16
24,26,81,2,2024-09-09,2024-09-16
25,17,70,3,2024-09-09,2024-09-16
26,24,7,1,2024-09-09,2024-09-16
27,45,92,5,2024-09-09,2024-09-16
28,1,28,5,2024-09-09,2024-09-16
29,15,20,5,2024-09-09,2024-09-16
30,17,72,4,2024-09-09,2024-09-16
